id,otel_id,otel_ad,yorum,opion,score
1,882,Mersoy Exclusive Hotel,Guzel gunler gecirdim daha once gelseydim keske,olumlu,0.9939945936203003
2,882,Mersoy Exclusive Hotel,Sahile mesafeli,olumlu,0.5172826647758484
3,882,Mersoy Exclusive Hotel,Denize yakin baska bir sey aramayin,olumsuz,0.6182767152786255
4,882,Mersoy Exclusive Hotel,Yemek havuz odalarda yatak sinik saati yok,olumsuz,0.5016375184059143
5,580,Marmaris Beach Hotel,Denize sifir konumu,olumlu,0.8379882574081421
6,580,Marmaris Beach Hotel,Denize bakan odalarda ayri yatakli oda yok,olumlu,0.6277222633361816
7,580,Marmaris Beach Hotel,"Yok, sadece oda mobilyasi yeni, herkes cok kabaydi.",olumsuz,0.6981615424156189
8,580,Marmaris Beach Hotel,"Biz Kismi deniz manzarali odayi aldik, fakat odamizdaki cikmamis, uzatmis gittik, 2 kisilik ekonomik odaya cocuk yatagi koymuslar, 3 yetiskiniz biz, soyleyince odayi degistirdiler, ertesi gun, bu odanin girisi var, sizi aldiginiz odaya geciriyoruz dediler, toplandik girdik oda, yan tesisin deposuna bakiyor, 1. Katta ve karanlik. Oysa ki ust katta ve resimde gordugumuz kismi deniz manzarali idi.",olumsuz,0.6449798941612244
9,326,Kleopatra Beach Hotel,Calisanlar cok ilgili ve guleryuzluydu,olumlu,0.990888237953186
10,326,Kleopatra Beach Hotel,Yemekler cok kotu havuz cok pisti. Enfeksiyon kaptik,olumsuz,0.9969788789749146
11,115,Marmaris Park Hotel,"Iyi ki Marmaris Parkta gitmisiz. Cok begendik. Guleryuzlu hizmet, mukemmel yemekler,icki,bar,temizlik. Doga,konum harika…",olumlu,0.9927075505256653
12,115,Marmaris Park Hotel,"Odamiza kullan at terlik kinulmamisti,ya ellerinde kalmamisti ya da unuttular.",olumsuz,0.5368846654891968
13,115,Marmaris Park Hotel,Gunes ogleden sonra yok.,olumsuz,0.5971137285232544
14,115,Marmaris Park Hotel,Her yonuyle mukemmel bir tatil gecirdik.Her sey icin cok tesekkurler.,olumlu,0.9481480121612549
15,115,Marmaris Park Hotel,Gunes saat 14.00 sonra yok.Gunes alan yerleri kisitli.,olumlu,0.7096814513206482
16,115,Marmaris Park Hotel,Tesekkurler,olumlu,0.7525589466094971
17,115,Marmaris Park Hotel,"Otelin konumu, temizligi, denizi, yiyecekleri oldukca basariliydi.",olumlu,0.9961510300636292
18,115,Marmaris Park Hotel,Otelin otopark sikintisi mevcut. Otoparkta yer bulamayinca aracinizi yol uzerine park etmek zorunda kaliyorsunuz.,olumlu,0.6285516619682312
19,64,Seher Resort Spa,"Denizi , kumsali harika. Personeli ozverili.",olumlu,0.9450488090515137
20,64,Seher Resort Spa,Havuz basindaki sezlong sayisi ve semsiye sayisi yeterli degildi. Ozellikle semsiye sayisinin kesinlikle artirilmasi gerekli.  Icecekler cok kalitesizdi.,olumsuz,0.8792732357978821
21,64,Seher Resort Spa,Odalar iyi ve calisanlar guler yuzlu,olumlu,0.9967624545097351
22,64,Seher Resort Spa,"Yemekler , temizlik ve hijyen kotu",olumsuz,0.9965187311172485
23,64,Seher Resort Spa,ANIMASYON EKIBI VE DIGER TUM CALISANLARIN GULER YUZLULUGU HIZMETI COK GUZELDI.,olumlu,0.9841945767402649
