id,otel_id,otel_ad,yorum
1,882,Mersoy Exclusive Hotel,Guzel gunler gecirdim daha once gelseydim keske
2,882,Mersoy Exclusive Hotel,Sahile mesafeli
3,882,Mersoy Exclusive Hotel,Denize yakin baska bir sey aramayin
4,882,Mersoy Exclusive Hotel,Yemek havuz odalarda yatak sinik saati yok
5,580,Marmaris Beach Hotel,Denize sifir konumu
6,580,Marmaris Beach Hotel,Denize bakan odalarda ayri yatakli oda yok
7,580,Marmaris Beach Hotel,"Yok, sadece oda mobilyasi yeni, herkes cok kabaydi."
8,580,Marmaris Beach Hotel,"Biz Kismi deniz manzarali odayi aldik, fakat odamizdaki cikmamis, uzatmis gittik, 2 kisilik ekonomik odaya cocuk yatagi koymuslar, 3 yetiskiniz biz, soyleyince odayi degistirdiler, ertesi gun, bu odanin girisi var, sizi aldiginiz odaya geciriyoruz dediler, toplandik girdik oda, yan tesisin deposuna bakiyor, 1. Katta ve karanlik. Oysa ki ust katta ve resimde gordugumuz kismi deniz manzarali idi."
9,326,Kleopatra Beach Hotel,Calisanlar cok ilgili ve guleryuzluydu
10,326,Kleopatra Beach Hotel,Yemekler cok kotu havuz cok pisti. Enfeksiyon kaptik
11,115,Marmaris Park Hotel,"Iyi ki Marmaris Parkta gitmisiz. Cok begendik. Guleryuzlu hizmet, mukemmel yemekler,icki,bar,temizlik. Doga,konum harika…"
12,115,Marmaris Park Hotel,"Odamiza kullan at terlik kinulmamisti,ya ellerinde kalmamisti ya da unuttular."
13,115,Marmaris Park Hotel,Gunes ogleden sonra yok.
14,115,Marmaris Park Hotel,Her yonuyle mukemmel bir tatil gecirdik.Her sey icin cok tesekkurler.
15,115,Marmaris Park Hotel,Gunes saat 14.00 sonra yok.Gunes alan yerleri kisitli.
16,115,Marmaris Park Hotel,Tesekkurler
17,115,Marmaris Park Hotel,"Otelin konumu, temizligi, denizi, yiyecekleri oldukca basariliydi."
18,115,Marmaris Park Hotel,Otelin otopark sikintisi mevcut. Otoparkta yer bulamayinca aracinizi yol uzerine park etmek zorunda kaliyorsunuz.
19,64,Seher Resort Spa,"Denizi , kumsali harika. Personeli ozverili."
20,64,Seher Resort Spa,Havuz basindaki sezlong sayisi ve semsiye sayisi yeterli degildi. Ozellikle semsiye sayisinin kesinlikle artirilmasi gerekli.  Icecekler cok kalitesizdi.
21,64,Seher Resort Spa,Odalar iyi ve calisanlar guler yuzlu
22,64,Seher Resort Spa,"Yemekler , temizlik ve hijyen kotu"
23,64,Seher Resort Spa,ANIMASYON EKIBI VE DIGER TUM CALISANLARIN GULER YUZLULUGU HIZMETI COK GUZELDI.
