id,otel_ad,fiyat,imageurl,score,bolge,hava_alanina_uzakligi,denize_uzakligi,plaj,iskele,a_la_carte_restoran,asansor,acik_restoran,kapali_restoran,acik_havuz,kapali_havuz,bedensel_engelli_odasi,bar,su_kaydiragi,balo_salonu,kuafor,otopark,market,sauna,doktor,beach_voley,fitness,canli_eglence,wireless_internet,animasyon,sorf,parasut,arac_kiralama,kano,spa,masaj,masa_tenisi,cocuk_havuzu,cocuk_parki
433,La Brezza Suıte Hotel Akyarlar,10920.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/09739/1050X700/tsr09739637744123920133553.jpg,,Bodrum Akyarlar ,60,600.0,2.0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
882,Mersoy Exclusive Hotel,7014.8,https://cdn.tatilsepeti.com/Files/Images/Tesis/02087/1050X700/tsr02087637751633050216963.jpg,7.1,Marmaris İçmeler ,100,100.0,-1.0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0
580,Marmaris Beach Hotel,9412.0,https://cdn.tatilsepeti.com/Files/TesisResim/07352/tsr07352637043203452804255.jpg,7.9,Marmaris Merkez ,100,0.0,2.0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0
723,Mono Life Hotel Çeşme,7500.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/13908/1050X700/tsr13908638490536566523790.jpg,,Çeşme Çeşme Merkez ,0,750.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,Mic Royal Hotel,9871.9,https://cdn.tatilsepeti.com/Files/TesisResim/09051/tsr09051636880702910355711.jpg,,Antalya Konyaaltı ,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,Miamai Butik Otel,45582.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/07126/1050X700/tsr07126637468258167872540.jpg,,Marmaris Bozburun ,0,0.0,2.0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0
719,Mes Mudita Boutique Hotel,3200.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/12391/1050X700/tsr12391637880391155459531.jpg,,Çeşme Çeşme Merkez ,80,750.0,,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
722,Mon Amour Alaçatı,7347.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/12840/1050X700/tsr12840638089577732959989.jpg,,Çeşme Alaçatı ,85,750.0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Monreve Alaçatı,26700.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/13172/1050X700/tsr13172638209780562279741.jpg,,Çeşme Alaçatı ,68,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,Mg Club Akman Beach,18931.2,https://cdn.tatilsepeti.com/Files/Images/Tesis/13865/1050X700/tsr13865638473104471648799.jpg,,Antalya Kemer ,0,,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
