"id","otel_id","otel_ad","yorum","opion","score"
1,1,Adam Eve,"Pozitif yonu, Animasyon ve eglence cok basarili. Oda konforu harika.",olumlu,0.9968374
2,1,Adam Eve,"Negatif yonu, Personel sayisi yetersiz. Hijyeni yeterince onem verilmiyor. Snack ve bar sayisi yetersiz.",olumsuz,0.9980152
3,1,Adam Eve,"Pozitif yonu, Yetiskin otel oldugu icin cocuk seslerinin olmamasi iyiydi. Personellerin hepsi cok guzel davraniyor.",olumlu,0.9987403
4,1,Adam Eve,"Negatif yonu, Pek olumsuz yonleri yoktu fiyat performans oteli denebilir.",olumsuz,0.7923431
5,1,Adam Eve,"Pozitif yonu, Cocuk olmamasi",olumlu,0.99691904
6,1,Adam Eve,"Negatif yonu, Yemek kalitesi daha iyi olabilir",olumsuz,0.99210054
7,1,Adam Eve,"Pozitif yonu, Eglencesi ortam ickiler odanin rahatligi sampanya ikrami hepsi harika",olumlu,0.9985598
8,1,Adam Eve,"Negatif yonu, Tek olumsuz yonu f&b de personel mi eksik bilmiyorum ama yetismekte zorlaniyorlar icki almak icin hep bara gitmeme ragmen en az yarim saat sira bekledim cogunlukla ki 3.gidisim hep bu sorun vardi .",olumsuz,0.9952197
9,1,Adam Eve,"Pozitif yonu, Eglence konum Oda manzaralari",olumlu,0.99758905
10,1,Adam Eve,"Negatif yonu, Hizmet yetersizdi Fb personeli cok yetersiz Yiyecek cesidi azalmisti",olumsuz,0.99734
11,2,Adenya Hotel Resort,"Pozitif yonu, Tum calisanlar iyi niyetli kibar ve cozum odakliydi. Ozellikle havuz barda calisan Enes Bey'e ilgi ve alakasindan dolayi cok tesekkur ederim :)",olumlu,0.9989666
12,2,Adenya Hotel Resort,"Pozitif yonu, Hersey cok guzeldi",olumlu,0.9978357
13,2,Adenya Hotel Resort,"Pozitif yonu, Konum cok guzel",olumlu,0.99786586
14,2,Adenya Hotel Resort,"Pozitif yonu, Sahane bir otel, gecen sene gitmistim, yine gittim",olumlu,0.99906063
15,3,Adin Beach Hotel,"Pozitif yonu, Calisanlar cok guler yuzlu ve ilgililerdi animasyon ekibi cok iyiydi",olumlu,0.998727
16,3,Adin Beach Hotel,"Negatif yonu, Soguk kahve boyle bir tesiste nasil olmaz anlamadim onun disinda iyiydi",olumsuz,0.9562769
