"id","otel_ad","fiyat","imageurl","score","bolge","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki","hava_alanina_uzakligi"
96,Trend Life Hotels Torba (+14),12600.0,"",,"",,,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
258,Monte Carlo Hotel,37006.2,https://cdn.tatilsepeti.com/Files/Images/Tesis/02907/1050X700/tsr02907637528976382936428.jpg,0.7,Antalya Alanya Obagöl ,50.0,2.0,Yok,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,
98,Aurasia Beach Hotel,89600.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/12187/1050X700/tsr12187637822555377356720.jpg,8.9,Marmaris Siteler ,0.0,2.0,Yok,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
183,Amos Hotel,34442.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/02417/1050X700/tsr02417638230363111068994.jpg,7.3,Marmaris Siteler ,0.0,2.0,Yok,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
182,Tourist Hotel,19883.2,https://cdn.tatilsepeti.com/Files/TesisResim/04542/tsr04542636881504504242563.jpg,8.7,Antalya Lara Örnekköy ,100.0,2.0,Yok,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,
60,Sayanora Hotel,27231.7,https://cdn.tatilsepeti.com/Files/TesisResim/03066/tsr03066635844807767585309.jpg,6.9,Antalya Side Denizbükü ,50.0,,Yok,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,
97,Kamer Exclusive Hotel Suites,74214.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/03415/1050X700/tsr03415638572672800249036.jpg,9.3,Çeşme Dalyan ,750.0,-1.0,Yok,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,
32,Ramada Resort Bodrum,54365.8,https://cdn.tatilsepeti.com/Files/Images/Tesis/00093/1050X700/tsr00093638409303797258748.jpg,7.7,Bodrum Bitez ,750.0,,Yok,1,1,1,1,1,1,1,4,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,
181,Sava Hotel,12788.6,https://cdn.tatilsepeti.com/Files/TesisResim/02682/tsr02682636490433443564497.jpg,0.8,Antalya Konyaaltı ,50.0,-1.0,Yok,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,
231,Life Point Boutique Hotel,17500.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/10556/tsr10556637140120351862318.jpg,,Çeşme Çiftlikköy ,0.0,2.0,Var,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1,Adam Eve,86362.5,https://cdn.tatilsepeti.com/Files/Images/Tesis/01620/1050X700/tsr01620638364315034063053.jpg,7.3,Antalya Belek İskele ,0.0,2.0,Var,7,1,1,1,5,1,1,7,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,
28,Orange County Kemer,88130.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/01323/1050X700/tsr01323638502687888798865.jpg,8.3,Antalya Kemer Merkez ,0.0,2.0,Var,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,
70,La Perla Hotel Kemer,41351.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/13125/1050X700/tsr13125638506943035975057.jpg,0.7,Antalya Kemer ,0.0,2.0,Yok,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,
42,Sunis Elita Beach Resort Spa,63700.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/02740/1050X700/tsr02740637848674089982556.jpg,7.9,Antalya Side Kızılağaç ,0.0,2.0,Var,5,1,1,1,3,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,
37,Royal Taj Mahal,69993.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/04853/1050X700/tsr04853638508707846487074.jpg,8.8,Antalya Side ,,2.0,Var,3,1,1,1,4,1,1,8,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,
33,Raymar Resort Aqua,54143.2,https://cdn.tatilsepeti.com/Files/Images/Tesis/05974/1050X700/tsr05974638573515897537225.jpg,7.2,Antalya Side Manavgat ,0.0,2.0,Var,3,1,1,1,2,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
50,Hedef Beach Resort Spa,147178.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/04031/1050X700/tsr04031638149119413251931.jpg,6.6,Antalya Alanya Konaklı ,100.0,2.0,Yok,0,0,1,1,1,1,1,5,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,
61,Sisus Marina Hotel,36750.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/13896/1050X700/tsr13896638472156572671460.jpg,,Çeşme Dalyan ,750.0,-1.0,Yok,1,1,1,1,1,1,1,2,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,
105,Bergiz Hotels Resorts Kemer,49140.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/14064/1050X700/tsr14064638526787797708004.jpg,,Antalya Kemer Göynük ,0.0,2.0,Yok,2,0,1,1,4,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,
112,Club Sun Heaven Family Spa Alanya,42865.2,https://cdn.tatilsepeti.com/Files/Images/Tesis/04918/1050X700/tsr04918638362610784303145.jpg,8.2,Antalya Alanya ,100.0,2.0,Yok,1,0,0,1,2,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,
