"id","otel_ad","fiyat","imageURL","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
96,Trend Life Hotels Torba (+14),"12.600,00 TL",,"","11000-13000","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
258,Monte Carlo Hotel,"37.006,20 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02907/1050X700/tsr02907637528976382936428.jpg,"7",+33000,Antalya - Alanya-Obagöl ,"115 km, Antalya HA ","50 - 100 Metre Arası",Özel Plaj,Yok,"0","1","1","1","1","0","1","1","1","0","0","1","0","1","1","1","0","1","1","1","0","0","1","0","1","1","1","1","0"
98,Aurasia Beach Hotel,"89.600,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12187/1050X700/tsr12187637822555377356720.jpg,"8,9",+33000,Marmaris - Siteler ,"96 km, Dalaman HA ",Denize Sıfır,Özel Plaj,Yok,"1","1","1","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
183,Amos Hotel,"34.442,07 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02417/1050X700/tsr02417638230363111068994.jpg,"7,3",+33000,Marmaris - Siteler ,"90 km, Dalaman ",Denize Sıfır,Özel Plaj,Yok,"1","1","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
182,Tourist Hotel,"19.883,20 TL",https://cdn.tatilsepeti.com/Files/TesisResim/04542/tsr04542636881504504242563.jpg,"8,7","19000-21000",Antalya - Lara-Örnekköy ,"10 km, Antalya HA ","100 - 200 Metre Arası",Özel Plaj,Yok,"0","1","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0"
60,Sayanora Hotel,"27.231,75 TL",https://cdn.tatilsepeti.com/Files/TesisResim/03066/tsr03066635844807767585309.jpg,"6,9","27000-29000",Antalya - Side-Denizbükü ,"65 km, AntaylaHA","50 - 100 Metre Arası",Yok,Yok,"0","0","1","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","1","0","1","1"
97,Kamer Exclusive Hotel Suites,"74.214,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03415/1050X700/tsr03415638572672800249036.jpg,"9,3",+33000,Çeşme - Dalyan ,"90 km, İzmir Adnan Menderes HA ","750 Metre ve Üzeri",Halk Plajı,Yok,"0","0","1","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0"
32,Ramada Resort Bodrum,"54.365,85 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00093/1050X700/tsr00093638409303797258748.jpg,"7,7",+33000,Bodrum - Bitez ,"40 km, Milas ","750 Metre ve Üzeri",Yok,Yok,"1","1","1","1","1","1","1","4","0","1","0","1","0","1","1","0","1","0","1","0","0","0","1","0","0","1","1","1","0"
181,Sava Hotel,"12.788,63 TL",https://cdn.tatilsepeti.com/Files/TesisResim/02682/tsr02682636490433443564497.jpg,"8","11000-13000",Antalya - Konyaaltı ,"22 km, Antalya HA ","50 - 100 Metre Arası",Halk Plajı,Yok,"1","0","0","1","1","0","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0"
231,Life Point Boutique Hotel,"17.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/10556/tsr10556637140120351862318.jpg,,"17000-19000",Çeşme - Çiftlikköy ,"No Info km, No Info",Denize Sıfır,Özel Plaj,Var,"1","0","1","1","1","0","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
