otel_ad,fiyat,SVR Predicted Price,RF Predicted Price,SVR Price Difference,RF Price Difference,SVR Fair Price Percentage,RF Fair Price Percentage,SVR Fair Price Range,RF Fair Price Range
La Brezza Suıte Hotel Akyarlar,10920.0,9532.3,12497.5,1387.7000000000007,-1577.5,12.71,14.45,Overpriced,Overpriced
Mersoy Exclusive Hotel,7014.8,12231.4,9580.7,-5216.599999999999,-2565.9000000000005,74.37,36.58,Significantly Overpriced,Significantly Overpriced
Marmaris Beach Hotel,9412.0,12963.2,9348.7,-3551.2000000000007,63.29999999999927,37.73,0.67,Significantly Overpriced,Fair
Mono Life Hotel Çeşme,7500.0,7968.2,10045.5,-468.1999999999998,-2545.5,6.24,33.94,Slight Overpriced,Significantly Overpriced
Mic Royal Hotel,9871.9,11000.1,16054.6,-1128.2000000000007,-6182.700000000001,11.43,62.63,Overpriced,Significantly Overpriced
Miamai Butik Otel,45582.0,11664.0,32750.1,33918.0,12831.900000000001,74.41,28.15,Significantly Overpriced,Significantly Overpriced
Mes Mudita Boutique Hotel,3200.0,8989.3,7210.7,-5789.299999999999,-4010.7,180.92,125.33,Significantly Overpriced,Significantly Overpriced
Mon Amour Alaçatı,7347.0,8804.5,8254.4,-1457.5,-907.3999999999996,19.84,12.35,Overpriced,Overpriced
Monreve Alaçatı,26700.0,11896.1,25295.7,14803.9,1404.2999999999993,55.45,5.26,Significantly Overpriced,Slight Overpriced
Mg Club Akman Beach,18931.2,10475.3,10540.0,8455.900000000001,8391.2,44.67,44.32,Significantly Overpriced,Significantly Overpriced
Modern Life Bodrum Otel,8429.0,10100.9,8975.1,-1671.8999999999996,-546.1000000000004,19.84,6.48,Overpriced,Slight Overpriced
Mono Life Hotel,11800.0,11268.6,11488.2,531.3999999999996,311.7999999999993,4.5,2.64,Fair,Fair
Kleopatra Beach Hotel,7875.0,13102.9,8891.6,-5227.9,-1016.6000000000004,66.39,12.91,Significantly Overpriced,Overpriced
Marmaris Park Hotel,13125.0,14755.1,15892.4,-1630.1000000000004,-2767.3999999999996,12.42,21.08,Overpriced,Significantly Overpriced
Seher Resort Spa,16640.0,14455.8,18625.2,2184.2000000000007,-1985.2000000000007,13.13,11.93,Overpriced,Overpriced
Hotel Grand Kaptan,12959.5,15342.9,15276.0,-2383.3999999999996,-2316.5,18.39,17.87,Overpriced,Overpriced
Galeri Resort Hotel,16084.6,16294.5,18300.8,-209.89999999999964,-2216.199999999999,1.3,13.78,Fair,Overpriced
Adalya Elite Lara,26990.5,15377.1,27510.6,11613.4,-520.0999999999985,43.03,1.93,Significantly Overpriced,Fair
Swandor Hotels Resort Topkapı Palace,39312.0,15866.9,33259.2,23445.1,6052.800000000003,59.64,15.4,Significantly Overpriced,Overpriced
Mons Casa Boutique Otel,12000.0,12000.1,12377.6,-0.1000000000003638,-377.60000000000036,0.0,3.15,Fair,Fair
Selene Beach Spa Hotel,21024.0,13578.7,17959.8,7445.299999999999,3064.2000000000007,35.41,14.57,Significantly Overpriced,Overpriced
Prenses Sealine Beach Hotel,15200.0,10842.3,13011.1,4357.700000000001,2188.8999999999996,28.67,14.4,Significantly Overpriced,Overpriced
Adalya Ocean Deluxe,28799.6,14542.2,27370.7,14257.399999999998,1428.8999999999978,49.51,4.96,Significantly Overpriced,Fair
Hotel Terrace Beach Resort,17943.1,14178.8,22597.8,3764.2999999999993,-4654.700000000001,20.98,25.94,Significantly Overpriced,Significantly Overpriced
Moy Side,4800.0,11404.0,6136.5,-6604.0,-1336.5,137.58,27.84,Significantly Overpriced,Significantly Overpriced
Lara Otel,8158.2,13161.9,11209.6,-5003.7,-3051.4000000000005,61.33,37.4,Significantly Overpriced,Significantly Overpriced
