otel_ad,fiyat,Predicted Price (Average),Price Difference,Fair Price Percentage,Fair Price Range
La Brezza Suıte Hotel Akyarlar,10920.0,12788.3,-1868.3,17.11,Overpriced
Mersoy Exclusive Hotel,7014.8,11385.1,-4370.3,62.3,Significantly Overpriced
Marmaris Beach Hotel,9412.0,8694.3,717.7,7.63,Slight Overpriced
Mono Life Hotel Çeşme,7500.0,9719.0,-2219.0,29.59,Significantly Overpriced
Mic Royal Hotel,9871.9,13001.9,-3130.0,31.71,Significantly Overpriced
Miamai Butik Otel,45582.0,18399.2,27182.8,59.63,Significantly Overpriced
Mes Mudita Boutique Hotel,3200.0,11277.8,-8077.8,252.43,Significantly Overpriced
Mon Amour Alaçatı,7347.0,11069.0,-3722.0,50.66,Significantly Overpriced
Monreve Alaçatı,26700.0,16581.9,10118.1,37.9,Significantly Overpriced
Mg Club Akman Beach,18931.2,10380.5,8550.7,45.17,Significantly Overpriced
Modern Life Bodrum Otel,8429.0,7456.8,972.2,11.53,Overpriced
Mono Life Hotel,11800.0,11391.0,409.0,3.47,Fair
Kleopatra Beach Hotel,7875.0,11761.1,-3886.1,49.35,Significantly Overpriced
Marmaris Park Hotel,13125.0,17940.0,-4815.0,36.69,Significantly Overpriced
Seher Resort Spa,16640.0,18465.0,-1825.0,10.97,Overpriced
Hotel Grand Kaptan,12959.5,17801.2,-4841.7,37.36,Significantly Overpriced
Galeri Resort Hotel,16084.6,22255.3,-6170.7,38.36,Significantly Overpriced
Adalya Elite Lara,26990.5,25138.6,1851.9,6.86,Slight Overpriced
Swandor Hotels Resort Topkapı Palace,39312.0,29637.1,9674.9,24.61,Significantly Overpriced
Mons Casa Boutique Otel,12000.0,13006.0,-1006.0,8.38,Slight Overpriced
Selene Beach Spa Hotel,21024.0,15093.0,5931.0,28.21,Significantly Overpriced
Prenses Sealine Beach Hotel,15200.0,10389.7,4810.3,31.65,Significantly Overpriced
Adalya Ocean Deluxe,28799.6,20904.8,7894.8,27.41,Significantly Overpriced
Hotel Terrace Beach Resort,17943.1,19309.4,-1366.3,7.61,Slight Overpriced
Moy Side,4800.0,9905.3,-5105.3,106.36,Significantly Overpriced
Lara Otel,8158.2,10554.3,-2396.1,29.37,Significantly Overpriced
Swissotel Büyük Efes İzmir,31304.5,18804.3,12500.2,39.93,Significantly Overpriced
Kleopatra Royal Palm Hotel,7875.0,18111.1,-10236.1,129.98,Significantly Overpriced
Grand Ring Hotel,15600.0,19178.9,-3578.9,22.94,Significantly Overpriced
Laren Seaside Hotel Spa,11156.5,13925.9,-2769.4,24.82,Significantly Overpriced
Adam Eve,31350.0,29050.4,2299.6,7.34,Slight Overpriced
Lara World Hotel,5925.0,9077.2,-3152.2,53.2,Significantly Overpriced
Royal Atlantis Beach,21692.0,19874.0,1818.0,8.38,Slight Overpriced
İnnvista Belek Antalya,15966.4,15229.8,736.6,4.61,Fair
Swissotel Resort Spa Çeşme,40600.6,28233.2,12367.4,30.46,Significantly Overpriced
The X Belek,19219.7,17781.1,1438.6,7.49,Slight Overpriced
Mucho Butik Otel,8000.0,10902.8,-2902.8,36.29,Significantly Overpriced
Green Nature Diamond,27072.0,20830.3,6241.7,23.06,Significantly Overpriced
Lavitas Hotel,7140.0,9901.0,-2761.0,38.67,Significantly Overpriced
My Bitez Suites,14000.0,10034.5,3965.5,28.32,Significantly Overpriced
Sensitive Premium Resort Spa,18905.9,19275.0,-369.1,1.95,Fair
Lonicera City Kleopatra Hotel,6068.7,7102.7,-1034.0,17.04,Overpriced
Adin Beach Hotel,27600.0,23593.7,4006.3,14.52,Overpriced
Justiniano Park Conti Club,20563.2,20928.4,-365.2,1.78,Fair
Nebilux Hotel,13176.4,9439.1,3737.3,28.36,Significantly Overpriced
Latanya Palm Hotel,7200.0,12241.5,-5041.5,70.02,Significantly Overpriced
