otel_ad,fiyat,Predicted Price (SVR & RF),Price Difference,Fair Price Percentage,Fair Price Range
La Brezza Suıte Hotel Akyarlar,10920.0,11014.9,-94.89999999999964,0.87,Fair
Mersoy Exclusive Hotel,7014.8,10906.0,-3891.2,55.47,Significantly Overpriced
Marmaris Beach Hotel,9412.0,11155.9,-1743.8999999999996,18.53,Overpriced
Mono Life Hotel Çeşme,7500.0,9006.8,-1506.7999999999993,20.09,Significantly Overpriced
Mic Royal Hotel,9871.9,13527.4,-3655.5,37.03,Significantly Overpriced
Miamai Butik Otel,45582.0,22207.1,23374.9,51.28,Significantly Overpriced
Mes Mudita Boutique Hotel,3200.0,8100.0,-4900.0,153.12,Significantly Overpriced
Mon Amour Alaçatı,7347.0,8529.5,-1182.5,16.1,Overpriced
Monreve Alaçatı,26700.0,18595.9,8104.0999999999985,30.35,Significantly Overpriced
Mg Club Akman Beach,18931.2,10507.6,8423.6,44.5,Significantly Overpriced
Modern Life Bodrum Otel,8429.0,9538.0,-1109.0,13.16,Overpriced
Mono Life Hotel,11800.0,11378.4,421.60000000000036,3.57,Fair
Kleopatra Beach Hotel,7875.0,10997.3,-3122.2999999999993,39.65,Significantly Overpriced
Marmaris Park Hotel,13125.0,15323.8,-2198.7999999999993,16.75,Overpriced
Seher Resort Spa,16640.0,16540.5,99.5,0.6,Fair
Hotel Grand Kaptan,12959.5,15309.5,-2350.0,18.13,Overpriced
Galeri Resort Hotel,16084.6,17297.6,-1212.9999999999982,7.54,Slight Overpriced
Adalya Elite Lara,26990.5,21443.8,5546.700000000001,20.55,Significantly Overpriced
Swandor Hotels Resort Topkapı Palace,39312.0,24563.0,14749.0,37.52,Significantly Overpriced
Mons Casa Boutique Otel,12000.0,12188.8,-188.79999999999927,1.57,Fair
Selene Beach Spa Hotel,21024.0,15769.2,5254.799999999999,24.99,Significantly Overpriced
Prenses Sealine Beach Hotel,15200.0,11926.7,3273.2999999999993,21.53,Significantly Overpriced
Adalya Ocean Deluxe,28799.6,20956.5,7843.0999999999985,27.23,Significantly Overpriced
Hotel Terrace Beach Resort,17943.1,18388.3,-445.2000000000007,2.48,Fair
Moy Side,4800.0,8770.2,-3970.2000000000007,82.71,Significantly Overpriced
Lara Otel,8158.2,12185.7,-4027.500000000001,49.37,Significantly Overpriced
Swissotel Büyük Efes İzmir,31304.5,20018.4,11286.099999999999,36.05,Significantly Overpriced
Kleopatra Royal Palm Hotel,7875.0,14036.4,-6161.4,78.24,Significantly Overpriced
Grand Ring Hotel,15600.0,16110.4,-510.39999999999964,3.27,Fair
Laren Seaside Hotel Spa,11156.5,11770.3,-613.7999999999993,5.5,Slight Overpriced
Adam Eve,31350.0,20994.2,10355.8,33.03,Significantly Overpriced
Lara World Hotel,5925.0,9208.7,-3283.7000000000007,55.42,Significantly Overpriced
Royal Atlantis Beach,21692.0,18854.9,2837.0999999999985,13.08,Overpriced
İnnvista Belek Antalya,15966.4,16383.2,-416.8000000000011,2.61,Fair
Swissotel Resort Spa Çeşme,40600.6,25681.8,14918.8,36.75,Significantly Overpriced
The X Belek,19219.7,16203.0,3016.7000000000007,15.7,Overpriced
Mucho Butik Otel,8000.0,9815.6,-1815.6000000000004,22.7,Significantly Overpriced
Green Nature Diamond,27072.0,20660.5,6411.5,23.68,Significantly Overpriced
Lavitas Hotel,7140.0,8363.9,-1223.8999999999996,17.14,Overpriced
My Bitez Suites,14000.0,10914.0,3086.0,22.04,Significantly Overpriced
Sensitive Premium Resort Spa,18905.9,17049.1,1856.800000000003,9.82,Slight Overpriced
Lonicera City Kleopatra Hotel,6068.7,9674.6,-3605.9000000000005,59.42,Significantly Overpriced
Adin Beach Hotel,27600.0,20724.9,6875.0999999999985,24.91,Significantly Overpriced
Justiniano Park Conti Club,20563.2,18454.3,2108.9000000000015,10.26,Overpriced
Nebilux Hotel,13176.4,10365.6,2810.7999999999993,21.33,Significantly Overpriced
Latanya Palm Hotel,7200.0,9964.9,-2764.8999999999996,38.4,Significantly Overpriced
Tui Blue Pascha Bay,16632.0,15471.8,1160.2000000000007,6.98,Slight Overpriced
Antique Roman Palace +16,11550.0,13527.4,-1977.3999999999996,17.12,Overpriced
Nills Stone House Otel,28920.3,13527.4,15392.9,53.23,Significantly Overpriced
Neva Hotel Alaçatı,10431.0,13527.4,-3096.3999999999996,29.68,Significantly Overpriced
Nilus Butik Otel,5700.0,7618.4,-1918.3999999999996,33.66,Significantly Overpriced
Lupo Libero Hotel Spa,9830.6,9930.1,-99.5,1.01,Fair
Haydarpasha Palace,18900.0,18505.5,394.5,2.09,Fair
Meriç Hotel Turunç,7481.2,10273.3,-2792.0999999999995,37.32,Significantly Overpriced
Alaiye Resort Spa,15744.0,18424.8,-2680.7999999999993,17.03,Overpriced
Astoria Hotel,11186.0,12010.4,-824.3999999999996,7.37,Slight Overpriced
Marbas Select Beach,3752.0,11089.1,-7337.1,195.55,Significantly Overpriced
Kahya Resort Aqua Spa,23680.0,21890.7,1789.2999999999993,7.56,Slight Overpriced
Sentido Kamelya Fulya Hotel,33526.6,24521.8,9004.8,26.86,Significantly Overpriced
Nixie Hotel Beach Yalıkavak - Adult Only,8550.9,14445.9,-5895.0,68.94,Significantly Overpriced
Şah Inn Paradise,28000.0,19040.8,8959.2,32.0,Significantly Overpriced
Celeste Bella Luxury Hotel Spa,14257.2,11995.1,2262.1000000000004,15.87,Overpriced
Aletris Deluxe Hotel Spa,28124.0,18888.0,9236.0,32.84,Significantly Overpriced
The Marmara Bodrum,27827.8,11915.6,15912.199999999999,57.18,Significantly Overpriced
Tui Magic Life Bodrum +16 Adult Only,26573.4,13527.4,13046.000000000002,49.09,Significantly Overpriced
Kempinski Hotel Barbaros Bay,47376.0,21790.3,25585.7,54.01,Significantly Overpriced
Hillstone Bodrum Hotel Spa,32400.0,14875.2,17524.8,54.09,Significantly Overpriced
Sentido Kamelya Selin Hotel,36708.0,23119.3,13588.7,37.02,Significantly Overpriced
Marin Hotel Kemer,4500.0,8533.6,-4033.6000000000004,89.64,Significantly Overpriced
No81 Hotel,12800.0,17687.7,-4887.700000000001,38.19,Significantly Overpriced
Monte Carlo Hotel,10260.0,11455.7,-1195.7000000000007,11.65,Overpriced
Odette Bodrum,15000.0,10341.9,4658.1,31.05,Significantly Overpriced
Munamar Park Otel,7335.5,10001.7,-2666.2000000000007,36.35,Significantly Overpriced
Olympos Forest House Hotel,14400.0,10655.3,3744.7000000000007,26.0,Significantly Overpriced
Aqı Pegasos Royal,20202.0,18166.9,2035.0999999999985,10.07,Overpriced
